Subsystem,Item,Quantity,Specification used/documented,Status
Controller,ESP32-C3 SuperMini or equivalent,1,3.3 V logic; GPIO availability matching pin map,Documented from prototype
ECG front end,AD8232 breakout,1,Single-lead analogue output with LO+/LO-/SDN,Documented from prototype
Display,SSD1306 OLED,1,"128×64 I²C, commonly 0x3C",Documented from prototype
Timekeeping,DS3231 RTC,1,I²C real-time clock,Documented from prototype
Storage,microSD module + card,1,3.3 V-compatible interface required,Documented from prototype
Power telemetry,INA219,1,I²C bus voltage/current/power monitor,Documented from prototype
Regulation,TPS63020 module,1,Buck-boost regulator; output must match system rail,Documented from prototype
Warning,Active-low buzzer module,1,GPIO2 input,Documented from pin map
Electrode interface,Three-lead cable and disposable pads,1,RA/LA/RL-style educational interface,Documented from photographs
Prototype assembly,Breadboards and jumper wires,as required,Low-voltage educational assembly,Documented from photographs
Core power,Protected low-voltage source,1,"Use a protected, regulator-compatible source",Safety-oriented replication requirement
Optional solar extension,5 V panel rated at least 3 W,1,Only with a compatible protected charger; disconnect during electrode use,Retrospective design recommendation
